names,prices
Toxic blowpipe (empty),2700000.0
Uncharged toxic trident,2900000.0
Trouver parchment,2500000.0
Serpentine helm (uncharged),2700000.0
Tanzanite fang,2700000.0
Enhanced crystal teleport seed,2400000.0
Ankou socks,2500000.0
Berserker ring,2500000.0
Serpentine visage,2700000.0
Magic fang,2700000.0
Infinity hat,2500000.0
Malediction ward,2500000.0
Abyssal whip,2300000.0
Guthan's armour set,2200000.0
Dagon'hai robe bottom,2300000.0
Tormented ornament kit,2700000.0
Dragon platebody,2200000.0
Gilded d'hide body,2200000.0
Onyx amulet (u),2100000.0
Ahrim's robetop,2300000.0
Obsidian armour set,2000000.0
Amulet of fury,2000000.0
Mystic smoke staff,2200000.0
Volcanic whip mix,2000000.0
Frozen whip mix,2000000.0
Smoke battlestaff,2100000.0
Regen bracelet,2000000.0
Berserker necklace,1900000.0
Ancient statuette,2000000.0
Light tuxedo jacket,2000000.0
Ahrim's robetop 0,2200000.0
Eternal crystal,2000000.0
Team cape x,1900000.0
Uncut onyx,2000000.0
Saradomin godsword ornament kit,1800000.0
Teacher wand,1800000.0
Robin hood hat,2000000.0
Onyx,1800000.0
Dragon metal shard,1800000.0
Merfolk trident,1900000.0
Ahrim's robeskirt,1900000.0
Devout boots,1600000.0
Dark tuxedo jacket,1700000.0
Ring of 3rd age,1700000.0
Onyx amulet,1700000.0
Ahrim's robeskirt 0,1800000.0
Holy sandals,1500000.0
Zamorak dragonhide set,1700000.0
Onyx bracelet,1600000.0
Team cape i,1600000.0
Tyrannical ring,1600000.0
Onyx necklace,1600000.0
Odium shard 2,1600000.0
Dark trousers,1500000.0
Dragonstone platelegs,1700000.0
Stale baguette,1400000.0
Monk's robe (g),1600000.0
White dark bow paint,1500000.0
Armadyl dragonhide set,1400000.0
Granite clamp,1500000.0
Ward upgrade kit,1400000.0
Gnome scarf,1300000.0
Arcane prayer scroll,1700000.0
Saradomin dragonhide set,1300000.0
Onyx ring,1300000.0
Dharok's platelegs,1400000.0
Dagon'hai hat,1100000.0
Trailblazer top (t3),1200000.0
Blue dark bow paint,1200000.0
Ornate maul handle,1300000.0
Jar of stone,1200000.0
Bucket helm (g),1200000.0
Dragon pickaxe upgrade kit,1100000.0
Dragon harpoon,1100000.0
Dragonstone full helm,1100000.0
Dharok's platelegs 0,1400000.0
Obsidian cape (r),1100000.0
Amulet of power (t),1100000.0
Black mask,1100000.0
